#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2020-02-25 15:55:32.033
#Start: 10 Hz
#Stop: 10000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.57422 V
#Offset: 0.000269454 V
#Relative: no
#Channel: Channel 2
#Range: 5.51641 V
#Offset: 0.000317814 V
#Relative: yes

Frequency (Hz)	Channel 1 Magnitude (dB)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
10.00000000000001	0.02354813903998403	-0.00835297575464917	-0.564634622262659
10.47128548050901	0.02350212850628427	-0.008087983367874575	-0.5892178446615759
10.96478196143186	0.02340803638872329	-0.008345067446880104	-0.6174869367959985
11.48153621496884	0.02333783912708461	-0.008581331601584164	-0.6458053848007808
12.02264434617413	0.02323381591911426	-0.008792267939500645	-0.6767974822807403
12.58925411794169	0.02315832071915172	-0.008919007408697435	-0.7084354738325587
13.18256738556409	0.023305540988345	-0.009129716383647917	-0.740782674132177
13.80384264602885	0.02335277870335022	-0.009449472296670897	-0.7742288442438507
14.45439770745929	0.02344833867700155	-0.0097558411444517	-0.8108047089347519
15.1356124843621	0.02373688794127627	-0.01032961528773505	-0.8488741532293602
15.84893192461114	0.02352795645838594	-0.01038538156287373	-0.8883045960601663
16.59586907437563	0.02346785818180475	-0.01084797119825412	-0.9285984223572727
17.37800828749376	0.02355400304842496	-0.01087647968439201	-0.9725738446683749
18.19700858609984	0.02579616012444648	-0.01136237307911053	-1.018068232601763
19.0546071796325	0.02362196510732904	-0.01148909853131553	-1.064523644237589
19.95262314968881	0.02325818859371197	-0.01167243134293739	-1.11452378575467
20.89296130854041	0.02323043015896937	-0.0123167422411001	-1.16546274386023
21.87761623949554	0.02357879100517669	-0.0128654948371204	-1.219292397906088
22.90867652767774	0.02347812099827106	-0.01317007908894765	-1.276906645904319
23.98832919019492	0.02356323240579879	-0.01379226777244127	-1.335055986226422
25.11886431509582	0.02374467548624081	-0.01438926284806211	-1.396388395854689
26.30267991895384	0.02364157876821543	-0.0148065943980638	-1.46236626551044
27.54228703338169	0.02340962308668593	-0.01551944649437283	-1.528735718970836
28.84031503126609	0.02369335725917882	-0.01627590825711156	-1.600703364837372
30.19951720402019	0.02353439791789948	-0.01685588608284602	-1.673844107304632
31.62277660168382	0.02357984478607085	-0.01754702132485873	-1.75064483975162
33.11311214825914	0.02343445995485847	-0.01826292361706856	-1.829930042235134
34.67368504525317	0.02358528980597108	-0.0191385223556997	-1.913876087630427
36.30780547701018	0.02351782991860057	-0.01999432861202076	-2.003144324229879
38.01893963205617	0.02347540172619555	-0.02080099526897591	-2.09473339369552
39.81071705534973	0.02344328219327469	-0.02164986117155523	-2.193317373762852
41.6869383470336	0.02344258232004724	-0.02295983054914328	-2.294776224710694
43.65158322401665	0.02337665293032122	-0.02417316153428559	-2.399895903026351
45.70881896148752	0.02336580113969962	-0.02558299208842542	-2.510788451409823
47.8630092322639	0.02338357283680104	-0.02685230799861023	-2.62800545649344
50.1187233627273	0.02326984333066986	-0.02804425454230065	-2.748886142269455
52.48074602497728	0.02347873446735873	-0.02994360854246136	-2.875522819431239
54.95408738576254	0.02328522113661094	-0.03167583618054946	-3.006912001318113
57.54399373371578	0.02331858101786993	-0.03346480197176391	-3.147357982429952
60.25595860743581	0.02341120323860244	-0.03536301599618157	-3.294143161995734
63.09573444801936	0.02354831978300684	-0.03772687502157021	-3.445694264056215
66.06934480075964	0.02350728082300317	-0.03984330017339702	-3.604155263526707
69.1830970918937	0.02361227921475959	-0.04224731425052985	-3.771850986246079
72.44359600749907	0.02339736479473633	-0.04505017175947544	-3.945424108646478
75.85775750291843	0.02357407347298193	-0.04764531305441248	-4.125403798154903
79.43282347242821	0.0236740051556359	-0.05094852621785052	-4.316574330126457
83.17637711026718	0.02360118477410783	-0.05402814719828133	-4.514014462645711
87.09635899560816	0.02363274575746287	-0.05765008431071705	-4.723423487107084
91.20108393559106	0.02342546434650709	-0.06157472421317876	-4.940753023613141
95.4992586021437	0.02345897621063704	-0.06602514390545745	-5.167956600805404
100	0.02352626889632412	-0.0702033986142228	-5.407160691666917
104.7128548050901	0.02343274963276592	-0.07516114444239451	-5.653708858651171
109.6478196143186	0.02346750511841718	-0.08055781521120994	-5.913473338902598
114.8153621496883	0.02346214346381261	-0.08608725947226241	-6.185761634328191
120.2264434617414	0.02357733801860639	-0.09212856421008517	-6.4682482581822
125.8925411794168	0.02327725213923519	-0.09904408091941255	-6.765144971569043
131.8256738556408	0.02371903256068136	-0.1064396278237452	-7.07262601266234
138.0384264602886	0.0233554227480477	-0.1142632163574018	-7.39670766111992
144.5439770745929	0.02331481537438993	-0.1228099695684443	-7.734166093066676
151.3561248436209	0.02370461731228841	-0.1320995401177195	-8.08711318451779
158.4893192461115	0.02341998734096551	-0.1421421546611062	-8.453873129410308
165.9586907437562	0.02362922607438295	-0.1528718037632167	-8.838974386564729
173.7800828749376	0.02335536266775483	-0.1643806664956763	-9.239128247231164
181.9700858609984	0.02327488177554332	-0.1768802941846525	-9.657927002197056
190.546071796325	0.02336113552149042	-0.1907474888682936	-10.09509183180421
199.5262314968881	0.02333643049374643	-0.2054742681097662	-10.54925592984122
208.929613085404	0.02309823879003221	-0.2218140872970061	-11.02207339286534
218.7761623949554	0.02347229684577141	-0.2391766301600803	-11.5150483352306
229.0867652767775	0.02315544819624249	-0.2582191702165187	-12.03369892839507
